state,wbw,wtw
Arizona,0,2.56
Florida,0,1.24
Georgia,0,4.52
Michigan,1.34,1.64
Nevada,0,1.14
North Carolina,0,1.14
Pennsylvania,0,5.03
Wisconsin,2.2,0.02
