state,wbw,wtw
Arizona,0.13,1.59
Florida,0,0.41
Georgia,0,1.22
Michigan,0.19,1.15
Nevada,0.05,0.39
North Carolina,0.05,0.46
Pennsylvania,0.4,1.2
Wisconsin,0.19,0.78
